runid	clusterid	annote	Methanothermococcus_archaeon_SAG_AD_155_C09	Methanothermococcus_archaeon_SAG_AD_155_K20	Methanothermococcus_archaeon_SAG_AD_155_M21	Methanothermococcus_archaeon_SAG_AD_155_N22	Methanothermococcus_archaeon_SAG_AD_155_E23
all_I_2.0_c_0.4_m_maxbit	104	aaa family atpase_ga0150974_10241	fig|155862.1.peg.632	NONE	fig|155862.4.peg.107	fig|155862.5.peg.547	fig|155862.2.peg.637
all_I_2.0_c_0.4_m_maxbit	1599	5'/3'-nucleotidase sure_ga0150975_10138	NONE	NONE	NONE	fig|155862.5.peg.21	NONE
all_I_2.0_c_0.4_m_maxbit	1417	protein of unknown function (duf4013)_ga0150972_11379	NONE	NONE	NONE	NONE	fig|155862.2.peg.456
all_I_2.0_c_0.4_m_maxbit	818	large subunit ribosomal protein l21e_ga0150974_14743	fig|155862.1.peg.737	NONE	fig|155862.4.peg.751	NONE	fig|155862.2.peg.468
all_I_2.0_c_0.4_m_maxbit	249	 succinyl-coa synthetase (adp-forming) beta subuni_ga0150971_101921	fig|155862.1.peg.215	NONE	fig|155862.4.peg.717	fig|155862.5.peg.431	fig|155862.2.peg.113
all_I_2.0_c_0.4_m_maxbit	1676	arginine decarboxylase, pyruvoyl-dependen_ga0150972_127218	NONE	NONE	NONE	NONE	fig|155862.2.peg.1159
all_I_2.0_c_0.4_m_maxbit	1107	sulfopyruvate decarboxylase subunit alpha_ga0150975_12743	fig|155862.1.peg.415	NONE	NONE	fig|155862.5.peg.196	NONE
all_I_2.0_c_0.4_m_maxbit	1510	uncharacterized protein (duf2226)_ga0150975_16931	NONE	NONE	NONE	fig|155862.5.peg.620	NONE
all_I_2.0_c_0.4_m_maxbit	899	 ribonuclease p protein subunit rpp30_ga0150972_114329	NONE	NONE	fig|155862.4.peg.358	fig|155862.5.peg.766	fig|155862.2.peg.510
all_I_2.0_c_0.4_m_maxbit	342	nucleotide-binding universal stress protein, uspa family_ga0150972_124919	fig|155862.1.peg.710	NONE	fig|155862.4.peg.676	fig|155862.5.peg.72	fig|155862.2.peg.1102
all_I_2.0_c_0.4_m_maxbit	1821	 carbohydrate abc transporter membrane protein 1, cut1 family_ga0150975_134912	NONE	NONE	NONE	fig|155862.5.peg.320	NONE
all_I_2.0_c_0.4_m_maxbit	1184	5,10-methenyltetrahydromethanopterin hydrogenase cofactor biosynthesis protein hmdc_ga0150971_10751	fig|155862.1.peg.819	NONE	NONE	NONE	fig|155862.2.peg.243
all_I_2.0_c_0.4_m_maxbit	589	 orotate phosphoribosyltransferase_ga0150971_105413	fig|155862.1.peg.615	NONE	NONE	fig|155862.5.peg.244	fig|155862.2.peg.77
all_I_2.0_c_0.4_m_maxbit	16	dna polymerase ii small subuni_ga0150974_14093	fig|155862.1.peg.1218	NONE	fig|155862.4.peg.689;fig|155862.4.peg.608	fig|155862.5.peg.649;fig|155862.5.peg.474	fig|155862.2.peg.1050
all_I_2.0_c_0.4_m_maxbit	423	 lppg:fo 2-phospho-l-lactate transferase_ga0150971_109364	fig|155862.1.peg.1025	fig|155862.3.peg.87	NONE	NONE	fig|155862.2.peg.1075
all_I_2.0_c_0.4_m_maxbit	1329	hypothetical protein_ga0150974_123512	NONE	NONE	fig|155862.4.peg.449	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	730	 ribosomal rna methyltransferase nop2_ga0150971_104025	fig|155862.1.peg.454	NONE	fig|155862.4.peg.490	NONE	fig|155862.2.peg.1087
all_I_2.0_c_0.4_m_maxbit	97	ribosomal rna adenine dimethylase_ga0150975_14211	fig|155862.1.peg.921	NONE	fig|155862.4.peg.342	fig|155862.5.peg.433;fig|155862.5.peg.385	fig|155862.2.peg.368
all_I_2.0_c_0.4_m_maxbit	1588	 crispr-associated protein, cas2 family_ga0150971_104048	fig|155862.1.peg.477	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1422	hypothetical protein_ga0150972_10251	NONE	NONE	NONE	NONE	fig|155862.2.peg.5
all_I_2.0_c_0.4_m_maxbit	811	 membrane-bound hydrogenase subunit ehbd_ga0150972_104031	fig|155862.1.peg.704	NONE	fig|155862.4.peg.114	NONE	fig|155862.2.peg.210
all_I_2.0_c_0.4_m_maxbit	254	 tryptophanyl-trna synthetase_ga0150974_114422	fig|155862.1.peg.724	NONE	fig|155862.4.peg.262	fig|155862.5.peg.733	fig|155862.2.peg.303
all_I_2.0_c_0.4_m_maxbit	1669	glycosyl transferase family, a/b domain_ga0150975_10131	NONE	NONE	NONE	fig|155862.5.peg.14	NONE
all_I_2.0_c_0.4_m_maxbit	1096	hypothetical protein_ga0150971_105614	fig|155862.1.peg.650	NONE	NONE	NONE	fig|155862.2.peg.601
all_I_2.0_c_0.4_m_maxbit	952	hypothetical protein_ga0150971_112127	fig|155862.1.peg.1245;fig|155862.1.peg.113	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	335	ammonium transporter, amt family_ga0150975_18089	fig|155862.1.peg.667	NONE	NONE	fig|155862.5.peg.687;fig|155862.5.peg.572	fig|155862.2.peg.904
all_I_2.0_c_0.4_m_maxbit	1810	 preflagellin peptidase. aspartic peptidase. merops family a24b_ga0150975_10134	NONE	NONE	NONE	fig|155862.5.peg.17	NONE
all_I_2.0_c_0.4_m_maxbit	1241	 phosphoserine phosphatase_ga0150972_11842	NONE	NONE	fig|155862.4.peg.321	NONE	fig|155862.2.peg.731
all_I_2.0_c_0.4_m_maxbit	578	methyltransferase domain-containing protein_ga0150971_113116	fig|155862.1.peg.1368	NONE	fig|155862.4.peg.381	NONE	fig|155862.2.peg.872
all_I_2.0_c_0.4_m_maxbit	9	hypothetical protein_ga0150971_109342	fig|155862.1.peg.1309;fig|155862.1.peg.1279;fig|155862.1.peg.1185;fig|155862.1.peg.927;fig|155862.1.peg.1006;fig|155862.1.peg.361	NONE	fig|155862.4.peg.407	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	476	 cobalamin-5'-phosphate synthase_ga0150974_102024	fig|155862.1.peg.1137	NONE	fig|155862.4.peg.83	NONE	fig|155862.2.peg.251
all_I_2.0_c_0.4_m_maxbit	1334	fkbp-type peptidyl-prolyl cis-trans isomerase slyd_ga0150974_107710	NONE	NONE	fig|155862.4.peg.166	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	723	queuosine biosynthesis protein quec_ga0150971_10398	fig|155862.1.peg.418	NONE	NONE	fig|155862.5.peg.815	fig|155862.2.peg.1098
all_I_2.0_c_0.4_m_maxbit	102	sugar phosphate isomerase/epimerase_ga0150971_10097	fig|155862.1.peg.100	NONE	fig|155862.4.peg.105	fig|155862.5.peg.100	fig|155862.2.peg.1088
all_I_2.0_c_0.4_m_maxbit	1581	sno glutamine amidotransferase family protein_ga0150972_11243	NONE	NONE	NONE	NONE	fig|155862.2.peg.407
all_I_2.0_c_0.4_m_maxbit	1415	protein of unknown function (duf4013)_ga0150972_11376	NONE	NONE	NONE	NONE	fig|155862.2.peg.453
all_I_2.0_c_0.4_m_maxbit	800	 imidazole glycerol phosphate synthase subunit hisf_ga0150974_103312	fig|155862.1.peg.677	NONE	fig|155862.4.peg.121	NONE	fig|155862.2.peg.411
all_I_2.0_c_0.4_m_maxbit	247	 n-acetylglutamate kinase_ga0150971_101910	fig|155862.1.peg.204	NONE	fig|155862.4.peg.499	fig|155862.5.peg.145	fig|155862.2.peg.712
all_I_2.0_c_0.4_m_maxbit	1722	hypothetical protein_ga0150974_16385	NONE	NONE	fig|155862.4.peg.905	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1089	 tetrahydromethanopterin s-methyltransferase, subunit g_ga0150971_103411	fig|155862.1.peg.338	NONE	NONE	NONE	fig|155862.2.peg.474
all_I_2.0_c_0.4_m_maxbit	945	 amidophosphoribosyltransferase_ga0150972_11597	fig|155862.1.peg.75	NONE	NONE	NONE	fig|155862.2.peg.604
all_I_2.0_c_0.4_m_maxbit	324	dna repair exonuclease sbccd nuclease subuni_ga0150972_120319	fig|155862.1.peg.61	NONE	fig|155862.4.peg.743	fig|155862.5.peg.725	fig|155862.2.peg.858
all_I_2.0_c_0.4_m_maxbit	1803	 archaeal histone hmva_ga0150974_16381	NONE	NONE	fig|155862.4.peg.901	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1246	 amp phosphorylase_ga0150975_184213	NONE	NONE	NONE	fig|155862.5.peg.738	fig|155862.2.peg.759
all_I_2.0_c_0.4_m_maxbit	635	hypothetical protein_ga0150971_10184	fig|155862.1.peg.160	NONE	NONE	fig|155862.5.peg.255	fig|155862.2.peg.68
all_I_2.0_c_0.4_m_maxbit	14	 (r)-citramalate synthase_ga0150971_111610	fig|155862.1.peg.1196;fig|155862.1.peg.954	NONE	fig|155862.4.peg.486	fig|155862.5.peg.543	fig|155862.2.peg.926;fig|155862.2.peg.634
all_I_2.0_c_0.4_m_maxbit	469	 membrane-bound hydrogenase subunit ehap_ga0150974_122613	fig|155862.1.peg.1236	NONE	fig|155862.4.peg.388	NONE	fig|155862.2.peg.381
all_I_2.0_c_0.4_m_maxbit	1327	hypothetical protein_ga0150971_109520	fig|155862.1.peg.1067	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	712	ferredoxin-type protein naph_ga0150971_10354	fig|155862.1.peg.357	NONE	fig|155862.4.peg.683	NONE	fig|155862.2.peg.953
all_I_2.0_c_0.4_m_maxbit	159	 carbamoyl-phosphate synthase large subuni_ga0150975_143010	fig|155862.1.peg.216	NONE	fig|155862.4.peg.718	fig|155862.5.peg.430	fig|155862.2.peg.112
all_I_2.0_c_0.4_m_maxbit	1570	s-layer protein, mj0822 family_ga0150971_10079	fig|155862.1.peg.81	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1468	pld-like domain-containing protein_ga0150974_10991	NONE	NONE	fig|155862.4.peg.199	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	857	 translation elongation factor 1b (aef-1b)_ga0150971_10872	fig|155862.1.peg.899	NONE	fig|155862.4.peg.661	NONE	fig|155862.2.peg.60
all_I_2.0_c_0.4_m_maxbit	236	uncharacterized zn-finger protein_ga0150972_124936	fig|155862.1.peg.169	NONE	fig|155862.4.peg.626;fig|155862.4.peg.148	NONE	fig|155862.2.peg.1119
all_I_2.0_c_0.4_m_maxbit	1715	hypothetical protein_ga0150972_10958	NONE	NONE	NONE	NONE	fig|155862.2.peg.316
all_I_2.0_c_0.4_m_maxbit	1094	hypothetical protein_ga0150971_10351	fig|155862.1.peg.354	NONE	NONE	NONE	fig|155862.2.peg.777
all_I_2.0_c_0.4_m_maxbit	950	 pyruvate ferredoxin oxidoreductase, delta subuni_ga0150972_124318	fig|155862.1.peg.1119	NONE	NONE	NONE	fig|155862.2.peg.1027
all_I_2.0_c_0.4_m_maxbit	381	uncharacterized protein_ga0150971_10862	fig|155862.1.peg.887	NONE	fig|155862.4.peg.431	fig|155862.5.peg.749	fig|155862.2.peg.350
all_I_2.0_c_0.4_m_maxbit	1792	polysaccharide pyruvyl transferase family protein wcak_ga0150975_187428	NONE	NONE	NONE	fig|155862.5.peg.791	NONE
all_I_2.0_c_0.4_m_maxbit	1239	hypothetical protein_ga0150972_11622	NONE	NONE	fig|155862.4.peg.325	NONE	fig|155862.2.peg.662
all_I_2.0_c_0.4_m_maxbit	624	 malate dehydrogenase (nadp) /malate dehydrogenase (nad)_ga0150971_10155	fig|155862.1.peg.141	NONE	fig|155862.4.peg.207	NONE	fig|155862.2.peg.980
all_I_2.0_c_0.4_m_maxbit	7	hypothetical protein_ga0150971_104313	fig|155862.1.peg.918;fig|155862.1.peg.835;fig|155862.1.peg.514;fig|155862.1.peg.495;fig|155862.1.peg.1381;fig|155862.1.peg.57	NONE	NONE	fig|155862.5.peg.561;fig|155862.5.peg.372	NONE
all_I_2.0_c_0.4_m_maxbit	458	 lsu ribosomal protein l34e_ga0150972_123848	fig|155862.1.peg.1108	NONE	fig|155862.4.peg.294	NONE	fig|155862.2.peg.976
all_I_2.0_c_0.4_m_maxbit	1316	phage major capsid protein e_ga0150971_109511	fig|155862.1.peg.1058	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	705	 ribonuclease p protein subunit rpp14_ga0150972_11495	fig|155862.1.peg.346	NONE	NONE	fig|155862.5.peg.231	fig|155862.2.peg.587
all_I_2.0_c_0.4_m_maxbit	148	hypothetical protein_ga0150974_11062	fig|155862.1.peg.1110	NONE	fig|155862.4.peg.211	fig|155862.5.peg.113	fig|155862.2.peg.1166
all_I_2.0_c_0.4_m_maxbit	1627	upf0148 protein_ga0150972_120316	NONE	NONE	NONE	NONE	fig|155862.2.peg.855
all_I_2.0_c_0.4_m_maxbit	1461	hypothetical protein_ga0150972_11331	NONE	NONE	NONE	NONE	fig|155862.2.peg.442
all_I_2.0_c_0.4_m_maxbit	862	hypothetical protein_ga0150974_11449	fig|155862.1.peg.914	NONE	fig|155862.4.peg.249	NONE	fig|155862.2.peg.1003
all_I_2.0_c_0.4_m_maxbit	229	iron complex transport system permease protein_ga0150972_12736	fig|155862.1.peg.738	NONE	fig|155862.4.peg.750	fig|155862.5.peg.110	fig|155862.2.peg.1169
all_I_2.0_c_0.4_m_maxbit	1704	hypothetical protein_ga0150971_109228	fig|155862.1.peg.951	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1151	hypothetical protein_ga0150971_10535	fig|155862.1.peg.600	NONE	fig|155862.4.peg.823	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	536	 ssu ribosomal protein s19e_ga0150974_11572	fig|155862.1.peg.1251	NONE	fig|155862.4.peg.279	NONE	fig|155862.2.peg.434
all_I_2.0_c_0.4_m_maxbit	943	cbs domain-containing protein_ga0150974_107736	fig|155862.1.peg.1337	NONE	fig|155862.4.peg.192	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	370	ytochrome c-type biogenesis protein_ga0150974_15393	fig|155862.1.peg.795	NONE	fig|155862.4.peg.802	fig|155862.5.peg.223	fig|155862.2.peg.938
all_I_2.0_c_0.4_m_maxbit	1228	hypothetical protein_ga0150975_10523	NONE	NONE	NONE	fig|155862.5.peg.65	fig|155862.2.peg.341
all_I_2.0_c_0.4_m_maxbit	617	eco57i restriction-modification methylase_ga0150975_10521	fig|155862.1.peg.1387	NONE	fig|155862.4.peg.177	fig|155862.5.peg.63	NONE
all_I_2.0_c_0.4_m_maxbit	60	metallo-beta-lactamase superfamily protein_ga0150972_102625	fig|155862.1.peg.165	NONE	fig|155862.4.peg.630;fig|155862.4.peg.144	fig|155862.5.peg.518	fig|155862.2.peg.31
all_I_2.0_c_0.4_m_maxbit	451	hypothetical protein_ga0150972_114334	fig|155862.1.peg.1101	NONE	fig|155862.4.peg.275	NONE	fig|155862.2.peg.515
all_I_2.0_c_0.4_m_maxbit	1373	hypothetical protein_ga0150972_10641	NONE	NONE	NONE	NONE	fig|155862.2.peg.231
all_I_2.0_c_0.4_m_maxbit	710	molybdopterin-guanine dinucleotide biosynthesis protein b_ga0150971_103424	fig|155862.1.peg.351	NONE	NONE	fig|155862.5.peg.566	fig|155862.2.peg.959
all_I_2.0_c_0.4_m_maxbit	141	co dehydrogenase maturation fa_ga0150975_136212	fig|155862.1.peg.109	NONE	fig|155862.4.peg.556	fig|155862.5.peg.348	fig|155862.2.peg.183
all_I_2.0_c_0.4_m_maxbit	1616	hypothetical protein_ga0150975_14342	NONE	NONE	NONE	fig|155862.5.peg.435	NONE
all_I_2.0_c_0.4_m_maxbit	1450	hypothetical protein_ga0150972_11481	NONE	NONE	NONE	NONE	fig|155862.2.peg.547
all_I_2.0_c_0.4_m_maxbit	855	4-hydroxy-3-polyprenylbenzoate decarboxylase_ga0150971_108513	fig|155862.1.peg.880	NONE	fig|155862.4.peg.19	NONE	fig|155862.2.peg.267
all_I_2.0_c_0.4_m_maxbit	282	 dihydroorotase_ga0150971_10355	fig|155862.1.peg.358	NONE	fig|155862.4.peg.682	fig|155862.5.peg.294	fig|155862.2.peg.270
all_I_2.0_c_0.4_m_maxbit	1697	hypothetical protein_ga0150975_179919	NONE	NONE	NONE	fig|155862.5.peg.658	NONE
all_I_2.0_c_0.4_m_maxbit	1140	 coenzyme f420-0 gamma-glutamyl ligase_ga0150972_109523	fig|155862.1.peg.563	NONE	NONE	NONE	fig|155862.2.peg.331
all_I_2.0_c_0.4_m_maxbit	529	 f420-non-reducing hydrogenase subunit a_ga0150971_109213	fig|155862.1.peg.937	NONE	NONE	fig|155862.5.peg.521	fig|155862.2.peg.28
all_I_2.0_c_0.4_m_maxbit	932	 reverse gyrase_ga0150975_18834	NONE	NONE	NONE	fig|155862.5.peg.816	fig|155862.2.peg.1097
all_I_2.0_c_0.4_m_maxbit	363	hypothetical protein_ga0150972_124355	fig|155862.1.peg.770	NONE	fig|155862.4.peg.312	fig|155862.5.peg.629	fig|155862.2.peg.1063
all_I_2.0_c_0.4_m_maxbit	1221	 dna-directed rna polymerase, subunit b_ga0150972_102919	NONE	NONE	NONE	fig|155862.5.peg.807	fig|155862.2.peg.144
all_I_2.0_c_0.4_m_maxbit	622	bifunctional n6-l-threonylcarbamoyladenine synthase / protein kinase bud32_ga0150971_11378	fig|155862.1.peg.1402	NONE	NONE	fig|155862.5.peg.40	fig|155862.2.peg.132
all_I_2.0_c_0.4_m_maxbit	53	methyltransferase domain-containing protein_ga0150975_136224	fig|155862.1.peg.1318	NONE	NONE	fig|155862.5.peg.481;fig|155862.5.peg.360;fig|155862.5.peg.359	fig|155862.2.peg.186
all_I_2.0_c_0.4_m_maxbit	504	 ssu ribosomal protein s3p_ga0150972_102651	fig|155862.1.peg.121	NONE	fig|155862.4.peg.658	NONE	fig|155862.2.peg.57
all_I_2.0_c_0.4_m_maxbit	1362	mcm2/3/5 family protein_ga0150974_102034	NONE	NONE	fig|155862.4.peg.93	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	767	 transcriptional regula_ga0150974_114311	fig|155862.1.peg.565	NONE	fig|155862.4.peg.235	NONE	fig|155862.2.peg.497
all_I_2.0_c_0.4_m_maxbit	130	5s rrna maturation endonuclease (ribonuclease m5), contains toprim domain_ga0150971_10961	fig|155862.1.peg.1069	NONE	fig|155862.4.peg.170	fig|155862.5.peg.488	fig|155862.2.peg.803
all_I_2.0_c_0.4_m_maxbit	1609	hypothetical protein_ga0150971_10442	fig|155862.1.peg.529	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1052	transcriptional regula_ga0150971_104012	fig|155862.1.peg.441	NONE	NONE	NONE	fig|155862.2.peg.984
all_I_2.0_c_0.4_m_maxbit	1443	hypothetical protein_ga0150972_12431	NONE	NONE	NONE	NONE	fig|155862.2.peg.1011
all_I_2.0_c_0.4_m_maxbit	844	hypothetical protein_ga0150972_109549	fig|155862.1.peg.848	NONE	fig|155862.4.peg.424	NONE	fig|155862.2.peg.357
all_I_2.0_c_0.4_m_maxbit	275	 phosphoserine-trna(cys) ligase_ga0150971_10446	fig|155862.1.peg.533	NONE	fig|155862.4.peg.854	fig|155862.5.peg.149	fig|155862.2.peg.314
all_I_2.0_c_0.4_m_maxbit	1702	hypothetical protein_ga0150972_11623	NONE	NONE	NONE	NONE	fig|155862.2.peg.663
all_I_2.0_c_0.4_m_maxbit	1133	 acetyl-coa decarbonylase/synthase beta subuni_ga0150971_10893	fig|155862.1.peg.912	NONE	fig|155862.4.peg.247	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	534	small subunit ribosomal protein s17_ga0150971_10148	fig|155862.1.peg.125	NONE	fig|155862.4.peg.654	NONE	fig|155862.2.peg.53
all_I_2.0_c_0.4_m_maxbit	989	 coenzyme f420-reducing hydrogenase, alpha subuni_ga0150971_113110	fig|155862.1.peg.1362	NONE	NONE	NONE	fig|155862.2.peg.278
all_I_2.0_c_0.4_m_maxbit	352	aspartyl-trna(asn)/glutamyl-trna(gln) amidotransferase subunit c_ga0150975_14214	fig|155862.1.peg.744	NONE	fig|155862.4.peg.445	fig|155862.5.peg.388	fig|155862.2.peg.371
all_I_2.0_c_0.4_m_maxbit	1274	uncharacterized conserved protein, contains hepn domain_ga0150971_101924	fig|155862.1.peg.218	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	615	 phosphoribosylformylglycinamidine synthase subunit ii_ga0150972_123866	fig|155862.1.peg.617	NONE	fig|155862.4.peg.690	NONE	fig|155862.2.peg.994
all_I_2.0_c_0.4_m_maxbit	42	rna 2-thiouridine synthesizing protein d_ga0150971_109326	fig|155862.1.peg.990	fig|155862.3.peg.175	fig|155862.4.peg.559	fig|155862.5.peg.552	fig|155862.2.peg.878
all_I_2.0_c_0.4_m_maxbit	497	hypothetical protein_ga0150971_10142	fig|155862.1.peg.119	NONE	fig|155862.4.peg.660	NONE	fig|155862.2.peg.59
all_I_2.0_c_0.4_m_maxbit	1355	hypothetical protein_ga0150971_103421	fig|155862.1.peg.348	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	756	ative abc transport system permease protein_ga0150972_124366	fig|155862.1.peg.534	NONE	fig|155862.4.peg.855	NONE	fig|155862.2.peg.1074
all_I_2.0_c_0.4_m_maxbit	187	hypothetical protein_ga0150975_132743	fig|155862.1.peg.1290	NONE	fig|155862.4.peg.827	fig|155862.5.peg.266	fig|155862.2.peg.219
all_I_2.0_c_0.4_m_maxbit	1614	hypothetical protein_ga0150972_109521	NONE	NONE	NONE	NONE	fig|155862.2.peg.329
all_I_2.0_c_0.4_m_maxbit	1045	v/a-type h+-transporting atpase subunit i_ga0150971_101817	fig|155862.1.peg.173	NONE	NONE	NONE	fig|155862.2.peg.1115
all_I_2.0_c_0.4_m_maxbit	1496	winged helix-turn-helix dna-binding_ga0150973_104095	NONE	fig|155862.3.peg.34	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	837	 fructose-bisphosphate aldolase /d-fructose 1,6-bisphosphatase_ga0150971_107418	fig|155862.1.peg.814	NONE	NONE	fig|155862.5.peg.137	fig|155862.2.peg.88
all_I_2.0_c_0.4_m_maxbit	264	sporulation protein ylmc, prc-barrel domain family_ga0150972_114833	fig|155862.1.peg.3	NONE	fig|155862.4.peg.328	fig|155862.5.peg.33	fig|155862.2.peg.576
all_I_2.0_c_0.4_m_maxbit	1759	hypothetical protein_ga0150972_12261	NONE	NONE	NONE	NONE	fig|155862.2.peg.919
all_I_2.0_c_0.4_m_maxbit	1122	rna u34 5-methylaminomethyl-2-thiouridine-forming methyltransferase mnmc_ga0150971_104030	fig|155862.1.peg.459	NONE	NONE	NONE	fig|155862.2.peg.893
all_I_2.0_c_0.4_m_maxbit	527	 f420-non-reducing hydrogenase subunit g_ga0150972_102621	fig|155862.1.peg.938	NONE	NONE	fig|155862.5.peg.522	fig|155862.2.peg.27
all_I_2.0_c_0.4_m_maxbit	978	hypothetical protein_ga0150971_11164	fig|155862.1.peg.1190	NONE	NONE	NONE	fig|155862.2.peg.95
all_I_2.0_c_0.4_m_maxbit	409	 transcriptional regulator, xre family_ga0150971_109338	fig|155862.1.peg.1002	NONE	fig|155862.4.peg.757	NONE	fig|155862.2.peg.554
all_I_2.0_c_0.4_m_maxbit	1836	hemotaxis protein methyltransferase cher_ga0150975_105212	NONE	NONE	NONE	fig|155862.5.peg.74	NONE
all_I_2.0_c_0.4_m_maxbit	1267	ine-binding chemotaxis protein chew_ga0150975_105222	NONE	NONE	NONE	fig|155862.5.peg.705;fig|155862.5.peg.84	NONE
all_I_2.0_c_0.4_m_maxbit	668	 2-oxoglutarate ferredoxin oxidoreductase, delta subuni_ga0150975_111612	fig|155862.1.peg.696	NONE	fig|155862.4.peg.116	fig|155862.5.peg.120	NONE
all_I_2.0_c_0.4_m_maxbit	35	fe-s-cluster-containing hydrogenase component 2_ga0150971_11301	fig|155862.1.peg.1342	NONE	fig|155862.4.peg.811;fig|155862.4.peg.150	fig|155862.5.peg.235	fig|155862.2.peg.591
all_I_2.0_c_0.4_m_maxbit	502	large subunit ribosomal protein l22_ga0150974_136524	fig|155862.1.peg.120	NONE	fig|155862.4.peg.659	NONE	fig|155862.2.peg.58
all_I_2.0_c_0.4_m_maxbit	1344	hypothetical protein_ga0150971_11051	fig|155862.1.peg.1105	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	749	efoldin beta subuni_ga0150971_10439	fig|155862.1.peg.510	NONE	fig|155862.4.peg.844	NONE	fig|155862.2.peg.822
all_I_2.0_c_0.4_m_maxbit	176	ein transport protein sec61 subunit gamma_ga0150971_112215	fig|155862.1.peg.1270	NONE	fig|155862.4.peg.63	NONE	fig|155862.2.peg.450;fig|155862.2.peg.234
